Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
,,Quaker Oats Old Fashioned 18oz,199.6,0,0,0,0,0,-0.5,0,0,40,199.1
,Oatmeal and Granola,---,910.96,0,0,0,0,0,-0.75,0,---,174,910.21
Grocery - Breakfast,---,---,3609.74,0,0,0,0,0,-5.97,0,---,913,3603.77
Grocery - Dairy,Cheese,Babybel Mini 6ct,180.93,0,0,0,0,0,-0.25,0,0,37,180.68
,,BelGioioso Asiago Wedge,9.9,0,0,0,0,0,0,0,0,2,9.9
,,BelGioioso Mascarpone Belgioioso,51.87,0,0,0,0,0,0,0,0,13,51.87
,,BelGioioso Parmesan Shredded Cup,98.67,0,0,0,0,0,0,0,0,23,98.67
,,BelGioioso Parmesan Wedge,120.78,0,0,0,0,0,0,0,0,22,120.78
,,BelGioioso Romano Shredded Cup,47.19,0,0,0,0,0,-0.5,0,0,11,46.69
,,BelGioioso Romano Wedge,24.75,0,0,0,0,0,0,0,0,5,24.75
,,BelGioioso Snacking Mozzarella,110.16,0,0,0,0,0,0,0,0,24,110.16
,,Best Yet Amer Singles 12oz,49.39,0,0,0,0,0,0,0,0,11,49.39
,,Best Yet Colby Jack Shred 8oz,119.7,0,0,0,0,0,-0.25,0,0,30,119.45
,,Field Roast Chao Cheese Original,24.27,0,0,0,0,0,0,0,0,3,24.27
,,Galbani Mozzarella Loaf 16oz,93.39,0,0,0,0,0,0,0,0,11,93.39
,,Kraft Amer Singles 8oz,64.87,0,0,0,0,0,0,0,0,13,64.87
,,Kraft Mexi 4 Cheese Shred 8oz,330.99,0,0,0,0,0,-1.95,0,0,51,329.04
,,Kraft Mozzarella Shred Fine 8oz,292.05,0,0,0,0,0,0,0,0,45,292.05
,,Kraft String Cheese Twist,36.49,0,0,0,0,0,0,0,0,41,36.49
,,Kraft String Ums,64.78,0,0,0,0,0,0,0,0,82,64.78
,,Laura Chenel Goat Plain Log,71.55,0,0,0,0,0,0,0,0,9,71.55
,,Laural Chenel Garlic & Chive Goat Log 4oz,20.97,0,0,0,0,0,0,0,0,3,20.97
,,Organic Creamery Feta Crumble Cup,91,0,0,0,0,0,0,0,0,14,91
,,President Brie 60 Domestic,82.39,0,0,0,0,0,0,0,0,11,82.39
,,President Camembert Domestic,74.9,0,0,0,0,0,0,0,0,10,74.9
,,Rumiano Havarti Sliced 8oz,44.01,0,0,0,0,0,-0.49,0,0,9,43.52
,,Rumiano Monterey Jack 8oz,80.82,0,0,0,0,0,0,0,0,18,80.82
,,Rumiano Sliced Cheddar Mild 8oz,143.68,0,0,0,0,0,-0.45,0,0,32,143.23
,,Rumiano Sliced Gouda 8oz,29.34,0,0,0,0,0,0,0,0,6,29.34
,,Rumiano Sliced Mozzarella 8oz,80.82,0,0,0,0,0,0,0,0,18,80.82
,,Rumiano Sliced Munster 8oz,40.41,0,0,0,0,0,0,0,0,9,40.41
,,Rumiano Sliced Pepper Jack 8oz,40.41,0,0,0,0,0,0,0,0,9,40.41
,,Rumiano Sliced Provolone 8oz,71.84,0,0,0,0,0,0,0,0,16,71.84
,,Rumiano Sliced Swiss,73.35,0,0,0,0,0,0,0,0,15,73.35
,,Tillamook Ched Med Shredded 8oz,221.63,0,0,0,0,0,0,0,0,37,221.63
,,Tillamook Ched Med Sliced,113.26,0,0,0,0,0,0,0,0,14,113.26
,,Tillamook Cheddar .75oz,104.13,0,0,0,0,0,-0.18,0,0,117,103.95
,,Tillamook Medium Cheddar 8oz,101.83,0,0,0,0,0,0,0,0,17,101.83
,,Tillamook Monterey Jack 8oz,29.95,0,0,0,0,0,0,0,0,5,29.95
